bill_for,issue_date,due_date,total,status,created_time
Gold Subscription Plan,2019-05-27,2019-06-17,36.85,Paid,2019-05-27
Gold Subscription Plan,2019-05-27,2019-05-27,36.85,Paid,2019-05-27
Gold Subscription Plan,2019-05-30,2019-05-30,2.25,Paid,2019-05-30
Gold Subscription Plan,2019-05-30,2019-05-30,39.5,Paid,2019-05-30
Gold Subscription Plan,2019-05-30,2019-05-30,39.5,Paid,2019-05-30
Gold Subscription Plan,2019-05-30,2019-05-30,39.5,Paid,2019-05-30
Gold Subscription Plan,2019-05-30,2019-05-30,2.1,Paid,2019-05-30
Gold Subscription Plan,2019-06-01,2019-06-01,18.75,Paid,2019-06-01
Gold Subscription Plan,2019-06-01,2019-06-01,18.75,Paid,2019-06-01
Gold Subscription Plan,2019-06-01,2019-06-01,18.75,Paid,2019-06-01
Gold Subscription Plan,2019-06-04,2019-06-04,36.85,Paid,2019-06-04
Gold Subscription Plan,2019-06-04,2019-06-04,9.5,Paid,2019-06-04
Gold Subscription Plan,2019-06-04,2019-06-04,36.85,Paid,2019-06-04
Gold Subscription Plan,2019-06-04,2019-06-04,2.25,Paid,2019-06-04
Gold Subscription Plan,2019-06-04,2019-06-04,2.25,Paid,2019-06-04
Gold Subscription Plan,2019-06-08,2019-06-08,2.1,Paid,2019-06-08
Gold Subscription Plan,2019-06-08,2019-06-08,9.5,Paid,2019-06-08
Gold Subscription Plan,2019-06-09,2019-06-09,2.25,Paid,2019-06-09
Gold Subscription Plan,2019-06-10,2019-06-10,39.75,Paid,2019-06-10
Gold Subscription Plan,2019-06-15,2019-06-15,2.25,Paid,2019-06-15
Gold Subscription Plan,2019-06-16,2019-06-16,2.25,Paid,2019-06-16
Gold Subscription Plan,2019-06-17,2019-06-17,39.5,Paid,2019-06-17
Gold Subscription Plan,2019-06-17,2019-06-17,22.9,Paid,2019-06-17
Gold Subscription Plan,2019-06-17,2019-06-17,2,Paid,2019-06-17
Gold Subscription Plan,2019-06-17,2019-06-17,2.25,Paid,2019-06-17
Gold Subscription Plan,2019-06-17,2019-06-17,2,Paid,2019-06-17
Gold Subscription Plan,2019-06-17,2019-06-17,2,Paid,2019-06-17
Gold Subscription Plan,2019-06-17,2019-06-17,2,Paid,2019-06-17
Gold Subscription Plan,2019-06-19,2019-06-19,2.25,Paid,2019-06-19
Gold Subscription Plan,2019-06-19,2019-06-19,18.5,Paid,2019-06-19
Gold Subscription Plan,2019-06-19,2019-06-19,22.9,Paid,2019-06-19
Gold Subscription Plan,2019-06-19,2019-06-19,9.35,Paid,2019-06-19
Gold Subscription Plan,2019-06-19,2019-06-19,1.25,Paid,2019-06-19
Gold Subscription Plan,2019-06-24,2019-06-24,1.55,Paid,2019-06-24
Gold Subscription Plan,2019-06-25,2019-06-25,9.55,Paid,2019-06-25
Gold Subscription Plan,2019-06-25,2019-06-25,48.4,Paid,2019-06-25
Gold Subscription Plan,2019-06-25,2019-06-25,92.4,Paid,2019-06-25
Gold Subscription Plan,2019-06-26,2019-06-26,97.5,Paid,2019-06-26
Gold Subscription Plan,2019-06-26,2019-06-26,9.5,Paid,2019-06-26
Gold Subscription Plan,2019-06-26,2019-06-26,36.85,Paid,2019-06-26
Gold Subscription Plan,2019-06-26,2019-06-26,2.25,Paid,2019-06-26
Gold Subscription Plan,2019-06-26,2019-06-26,2.25,Paid,2019-06-26
Gold Subscription Plan,2019-06-26,2019-06-26,2.25,Paid,2019-06-26
Gold Subscription Plan,2019-06-26,2019-06-26,2.25,Paid,2019-06-26
Gold Subscription Plan,2019-06-26,2019-06-26,1.55,Paid,2019-06-26
Gold Subscription Plan,2019-07-01,2019-07-01,24.5,Paid,2019-07-01
Gold Subscription Plan,2019-07-01,2019-07-04,17.45,Paid,2019-07-01
Gold Subscription Plan,2019-07-01,2019-07-01,17.45,Paid,2019-07-01
Gold Subscription Plan,2019-07-01,2019-07-01,9.7,Paid,2019-07-01
Gold Subscription Plan,2019-07-01,2019-07-01,39.5,Paid,2019-07-01
Gold Subscription Plan,2019-07-01,2019-07-01,9.45,Paid,2019-07-01
Gold Subscription Plan,2019-07-01,2019-07-01,9.7,Paid,2019-07-01
Gold Subscription Plan,2019-07-01,2019-07-01,9.7,Paid,2019-07-01
Gold Subscription Plan,2019-07-01,2019-07-01,18.75,Paid,2019-07-01
Gold Subscription Plan,2019-07-01,2019-07-01,9.7,Paid,2019-07-01
Gold Subscription Plan,2019-07-01,2019-07-01,250,Paid,2019-07-01
Gold Subscription Plan,2019-07-01,2019-07-01,9.45,Paid,2019-07-01
Gold Subscription Plan,2019-07-01,2019-07-01,4.78,Paid,2019-07-01
Gold Subscription Plan,2019-07-01,2019-07-01,39.5,Paid,2019-07-01
Gold Subscription Plan,2019-07-02,2019-07-02,24.35,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,9.7,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,14.65,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,46,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,9.8,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,14.65,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,4.85,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,9.35,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,47,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,45.25,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,9.35,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,22.9,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,4.8,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,45.75,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,45.75,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,18.75,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,45.75,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,47,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,5.25,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,10.25,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,4.85,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,15.75,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,39.75,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,46,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,23.15,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,39.75,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-03,5.25,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,39.75,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,45.75,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,9.65,Paid,2019-07-02
Gold Subscription Plan,2019-07-02,2019-07-02,9.7,Paid,2019-07-02
